id,vigilanciaTipoPreguntaId,vigilanciaApartadoId,VigilanciaCategoriaId,pregunta,created_at
1,1,3,23,Cuenta con un departamento de seguimiento de egresado,2018-09-12 18:00:00
2,1,3,23,La IES realiza un diagnóstico de seguimiento de egresados,2018-09-12 18:00:00
3,1,3,23,La institución tiene contacto con los egresados,2018-09-12 18:00:00
4,1,3,23,Cuenta con instrumentos y técnicas para el seguimiento de egresado,2018-09-12 18:00:00
5,1,3,23,Cuenta con bases de datos de los ex alumnos,2018-09-12 18:00:00
6,1,3,23,Cuenta con información recabada en bases de datos, con la finalidad de fortalecer la calidad académica del programa de estudio y proporcionar las competencias o habilidades pertinentes del egresado que el mercado laboral requiere,2018-09-12 18:00:00
7,1,3,23,La IES cuenta con bolsa de trabajo,2018-09-12 18:00:00
8,2,3,23,OBSERVACIONES,2018-09-12 18:00:00


